NCM;EX;DESCRICAO;ALIQUOTA
0101;;Cavalos, asininos e muares, vivos.;
01012;;- Cavalos:;
01012100;;-- Reprodutores de raça pura ;NT
01012900;;-- Outros ;NT
01013000;;- Asininos ;NT
01019000;;- Outros ;NT
0102;;Animais vivos da espécie bovina.;
01022;;- Bovinos domésticos:;
010221;;-- Reprodutores de raça pura;
01022110;;Prenhes ou com cria ao pé ;NT
01022190;;Outros ;NT
010229;;-- Outros;
0102291;;Para reprodução;
01022911;;Prenhes ou com cria ao pé ;NT
01022919;;Outros ;NT
01022990;;Outros ;NT
01023;;- Búfalos:;
010231;;-- Reprodutores de raça pura;
01023110;;Prenhes ou com cria ao pé ;NT
01023190;;Outros ;NT
010239;;-- Outros;
0102391;;Para reprodução;
01023911;;Prenhes ou com cria ao pé ;NT
01023919;;Outros ;NT
01023990;;Outros ;NT
01029000;;- Outros ;NT
0103;;Animais vivos da espécie suína.;
01031000;;- Reprodutores de raça pura ;NT
1039;;- Outros:;
01039100;;-- De peso inferior a 50 kg ;NT
01039200;;-- De peso igual ou superior a 50 kg ;NT
0104;;Animais vivos das espécies ovina e caprina.;
01041;;- Ovinos;
0104101;;Reprodutores de raça pura;
01041011;;Prenhes ou com cria ao pé ;NT
01041019;;Outros ;NT
01041090;;Outros ;NT
01042;;- Caprinos;
01042010;;Reprodutores de raça pura ;NT
01042090;;Outros ;NT
0105;;Aves da espécie Gallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos.;
01051;;- De peso não superior a 185 g:;
010511;;-- Aves da espécie Gallus domesticus;
01051110;;De linhas puras ou híbridas, para reprodução ;NT
01051190;;Outros ;NT
01051200;;-- Peruas e perus ;NT
01051300;;-- Patos ;NT
01051400;;-- Gansos ;NT
01051500;;-- Galinhas-d'angola (pintadas) ;NT
01059;;- Outros:;
01059400;;-- Aves da espécie Gallus domesticus ;NT
01059900;;-- Outros ;NT
0106;;Outros animais vivos.;
01061;;- Mamíferos:;
01061100;;-- Primatas ;NT
01061200;;"-- Baleias, golfinhos e botos (mamíferos da ordem Cetacea), peixes-boi (manatins) e dugongos
(mamíferos da ordem Sirenia), otárias e focas, leões-marinhos e morsas (mamíferos da
subordem Pinnipedia) ";NT
01061300;;-- Camelos e outros camelídeos (Camelidae) ;NT
01061400;;-- Coelhos e lebres ;NT
01061900;;-- Outros ;NT
01062000;;- Répteis (incluindo as serpentes e as tartarugas marinhas) ;NT
01063;;- Aves:;
01063100;;-- Aves de rapina ;NT
01063200;;-- Psitaciformes (incluindo os papagaios, os periquitos, as araras e as catatuas) ;NT
010633;;-- Avestruzes, emus (Dromaius novaehollandiae);
01063310;;Avestruzes (Struthio camelus), para reprodução ;NT
01063390;;Outros ;NT
01063900;;-- Outras ;NT
01064;;- Insetos:;
01064100;;-- Abelhas ;NT
01064900;;-- Outros ;NT
01069000;;- Outros ;NT
0201;;Carnes de animais da espécie bovina, frescas ou refrigeradas.;
02011000;;- Carcaças e meias-carcaças ;0
02012;;- Outras peças não desossadas;
02012010;;Quartos dianteiros ;0
02012020;;Quartos traseiros ;0
02012090;;Outras ;0
02013000;;- Desossadas ;0
0202;;Carnes de animais da espécie bovina, congeladas.;
02021000;;- Carcaças e meias-carcaças ;0
02022;;- Outras peças não desossadas;
02022010;;Quartos dianteiros ;0
02022020;;Quartos traseiros ;0
02022090;;Outras ;0
02023000;;- Desossadas ;0
0203;;Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas.;
02031;;- Frescas ou refrigeradas:;
02031100;;-- Carcaças e meias-carcaças ;0
02031200;;-- Pernas, pás e respectivos pedaços, não desossados ;0
