ncm;trib
73071920;i
82073000;i
82071900;i
84021100;i
84021200;i
84021900;i
84022000;i
84041010;i
84042000;i
84051000;i
84061000;i
84068100;i
84068200;i
84101100;i
84101200;i
84101300;i
84109000;i
84128000;i
84137010;i
84137080;i
84137090;i
84148012;i
84148013;i
84148019;i
84148031;i
84148032;i
84148033;i
84148038;i
84148039;i
84161000;i
84162010;i
84162090;i
84163000;i
84169000;i
84171010;i
84171020;i
84171090;i
84172000;i
84178010;i
84178020;i
84186910;i
84186999;i
84186920;i
84193200;i
84193900;i
84194010;i
84194020;i
84194090;i
84195010;i
84195021;i
84195022;i
84195029;i
84195090;i
84196000;i
84198110;i
84198190;i
84198911;i
84198919;i
84198920;i
84198930;i
84198940;i
84198999;i
84201010;i
84201090;i
84209100;i
84211110;i
84211190;i
84211290;i
84211910;i
84211990;i
84213990;i
84222000;i
84223010;i
84223021;i
84223022;i
84223023;i
84223029;i
84224010;i
84224020;i
84224030;i
84224090;i
84232000;i
84233011;i
84233019;i
84233090;i
84238110;i
84238190;i
84238190;i
84238200;i
84238900;i
84238200;i
84242000;i
84243010;i
84243020;i
84243030;i
84243090;i
84248990;i
84251100;i
84251910;i
84251990;i
84253110;i
84253190;i
84253990;i
84261100;i
84262000;i
84263000;i
84269900;i
84279000;i
84281000;i
84282010;i
84282090;i
84283100;i
84283200;i
84283300;i
84283910;i
84283920;i
84283930;i
84283990;i
84342010;i
84342090;i
84351000;i
84371000;i
84378010;i
84378090;i
84381000;i
84382011;i
84382019;i
84382090;i
84383000;i
84384000;i
84385000;i
84386000;i
84388020;i
84388090;i
84391010;i
84391020;i
84391030;i
84391090;i
84392000;i
84393010;i
84393020;i
84393030;i
84393090;i
84401011;i
84401019;i
84401020;i
84401090;i
84411010;i
84411090;i
84412000;i
84413010;i
84413090;i
84414000;i
84418000;i
84423010;i
84423020;i
84431110;i
84431190;i
84431200;i
84431310;i
84431321;i
84431329;i
84431390;i
84431400;i
84431500;i
84431600;i
84431710;i
84431790;i
84431990;i
84439191;i
84439192;i
84439199;i
84433910;i
84440010;i
84440020;i
84440090;i
84451110;i
84451120;i
84451190;i
84451200;i
84451300;i
84451910;i
84451921;i
84451922;i
84451923;i
84451924;i
84451925;i
84451926;i
84451927;i
84451929;i
84452000;i
84453010;i
84453090;i
84454011;i
84454012;i
84454018;i
84454019;i
84454021;i
84454029;i
84454031;i
84454039;i
84454040;i
84454090;i
84459010;i
84459020;i
84459030;i
84459040;i
84459090;i
84461010;i
84461090;i
84462100;i
84462900;i
84463010;i
84463020;i
84463030;i
84463040;i
84463090;i
84471100;i
84471200;i
84472021;i
84472029;i
84472030;i
84479010;i
84479020;i
84479090;i
84481110;i
84481120;i
84481190;i
84481900;i
84490010;i
84490020;i
84490080;i
84502010;i
84502090;i
84511000;i
84512910;i
84512990;i
84513010;i
84513091;i
84513099;i
84514010;i
84514021;i
84514029;i
84514090;i
84515010;i
84515020;i
84515090;i
84518000;i
84522110;i
84522120;i
84522190;i
84522910;i
84522921;i
84522922;i
84522923;i
84522929;i
84522924;i
84522925;i
84531010;i
84531090;i
84532000;i
84538000;i
84541000;i
84542010;i
84542090;i
84543010;i
84543020;i
84543090;i
84549010;i
84549090;i
84551000;i
84552110;i
84552190;i
84552210;i
84552290;i
84553010;i
84553020;i
84553090;i
84559000;i
84563011;i
84563019;i
84563090;i
84571000;i
84572010;i
84572090;i
84573010;i
84573090;i
84581110;i
84581191;i
84581199;i
84581910;i
84581990;i
84589100;i
84589900;i
84591000;i
84592110;i
84592191;i
84592199;i
84592900;i
84593100;i
84593900;i
84594000;i
84595100;i
84595900;i
84596100;i
84596900;i
84597000;i
84601100;i
84601900;i
84602100;i
84602900;i
84603100;i
84603900;i
84604011;i
84604019;i
84604091;i
84604099;i
